表示名,反応することば,ひとこと,色1,色1の名前,色2,色2の名前,色3,色3の名前,色4,色4の名前,トーン,質感,配色技法
スイートピー,スイートピー|Sweet Pea Blossom,淡桃と紫の花弁、若葉の緑に柔らかな香り,#EAB3BB,花弁の淡桃,#CBB0DC,花弁の紫,#337549,葉の緑,#F6F6F4,花芯の白,p|lt|sf,,類似色相配色
黒カルダモン,黒カルダモン|Black Cardamom,焦茶の莢、黒い種と黄土の粉に燻香が潜む,#795336,莢の焦茶,#111111,種子の黒,#A07835,粉末の黄土,#DCD5B8,切口の生成り,d|dk|dkg,ツヤケシ,トーン・オン・トーン配色
白胡椒,白胡椒|White Peppercorn,白茶の粒、淡黄の粉と焦茶の芯に鋭い辛み,#F6F6F4,胡椒粒の白,#E4C94C,粉末の淡黄,#7F4A2C,芯の焦茶,#C3A879,外皮跡の薄茶,d|ltg|sf,ツヤケシ,トーナル配色
ロングペッパー,ロングペッパー|Long Pepper,細長い黒茶の穂、赤茶の断面に甘辛い香り,#60412B,果穂の焦茶,#BA5231,断面の赤茶,#B99048,粉末の黄土,#42B438,茎の緑,d|dk|dkg,ツヤケシ,ナチュラルハーモニー
セロリシード,セロリシード|Celery Seed,小さな褐色種、黄緑の茎と葉に青い香り,#6F4D34,種子の褐色,#5C732C,茎の黄緑,#368249,葉の緑,#C38B4D,粉末の黄土,d|sf|ltg,ツヤケシ,ナチュラルハーモニー
アジョワン,アジョワン|Ajwain Seed,灰茶の小粒、黄土の粉と緑葉に強い芳香,#653C31,種子の褐色,#90742D,粉末の黄土,#3E9B51,葉の緑,#F6F6F4,花の白,d|ltg|sf,ツヤケシ,ナチュラルハーモニー
ニゲラ,ニゲラ|Nigella Seed,漆黒の小粒、白花と淡青の花弁に香ばしさ,#111111,種子の黒,#F6F6F4,花弁の白,#63AFD1,花弁の淡青,#BD8D1F,花芯の金,s|dp|lt,ツヤケシ,セパレーション
スマック,スマック|Sumac Spice,深紅の粉、赤褐色の実と緑葉に酸味が宿る,#762131,粉末の深紅,#803122,果実の赤褐色,#40A23F,葉の緑,#78462F,種の焦茶,s|d|dk,ツヤケシ,ナチュラルハーモニー
ザアタル,ザアタル|Za'atar Blend,緑のハーブ、白胡麻と赤いスマックが混じる,#888F4F,乾燥葉の緑,#F6F6F4,白胡麻の白,#BB244C,スマックの赤,#B89F51,粉末の黄土,s|d|ltg,ツヤケシ,リピテーション配色
ガラムマサラ,ガラムマサラ|Garam Masala,褐色の粉、赤茶と黄土が幾層もの香辛料を束ねる,#845447,粉末の褐色,#AE6348,桂皮の赤茶,#AB8A2B,クミンの黄土,#95A940,カルダモンの緑,d|dk|dkg,ツヤケシ,トーナル配色
ハリッサ,ハリッサ|Harissa Paste,鮮赤の唐辛子、橙の油と黄土の香辛料が濃い,#8C2F23,ペーストの鮮赤,#C96B2C,油の橙,#B57A3B,香辛料の黄土,#758434,ハーブの緑,v|s|dp,,ナチュラルハーモニー
チポトレ,チポトレ|Chipotle Pepper,燻した赤茶の唐辛子、焦茶の皮に煙香が残る,#8E4529,果皮の赤茶,#715341,燻し皮の焦茶,#E8E399,種の淡黄,#444444,煙の灰,d|dk|dkg,ツヤケシ,トーン・オン・トーン配色
パプリカ,パプリカ|Paprika Spice,鮮赤の粉、橙の果肉と黄いろい種が甘く香る,#CE3E30,粉末の鮮赤,#C58431,果肉の橙,#E9DA8B,種の黄,#308B4D,ヘタの緑,v|b|s,ツヤケシ,類似色相配色
白茶,白茶|White Tea,銀白の芽、淡緑の葉と薄金の茶湯が静かに香る,#C4C4C4,茶芽の銀,#AEC79E,若葉の淡緑,#C99C4D,茶湯の淡金,#F6F6F4,産毛の白,p|sf|ltg,,ナチュラルハーモニー
黄茶,黄茶|Yellow Tea,黄緑の茶葉、淡金の湯と若葉の緑が柔らかい,#707637,茶葉の黄緑,#DEA637,茶湯の淡金,#308431,若葉の緑,#E3BF63,湯面の淡黄,b|sf|lt,,類似色相配色
マサラチャイ,マサラチャイ|Masala Chai,乳茶の褐色、桂皮と生姜の金茶が湯気に混じる,#694329,茶液の乳茶色,#B15937,桂皮の赤茶,#E5CC7A,生姜の淡黄,#D4CFBB,泡の生成り,d|ltg|sf,,トーン・オン・トーン配色
ラプサンスーチョン,ラプサンスーチョン|Lapsang Souchong,黒褐色の茶葉、赤琥珀の湯に松煙の影が残る,#623222,茶葉の焦茶,#9C6D1C,茶湯の赤琥珀,#444444,燻煙の灰,#1F6022,松葉の深緑,d|dk|dkg,,ナチュラルハーモニー
キームン,キームン|Keemun Tea,黒茶の細葉、深い赤琥珀の湯に蘭香が漂う,#634936,茶葉の濃茶,#AB751B,茶湯の深琥珀,#92453A,葉芯の赤茶,#F6E88C,泡の淡黄,d|dk|dkg,,トーン・オン・トーン配色
ウバ,ウバ|Uva Tea,濃茶の葉、赤橙の茶湯と金の縁に鋭い香り,#8B4F31,茶葉の濃茶,#B54F3F,茶湯の赤橙,#CFA63E,湯縁の金,#E6E582,泡の淡黄,d|dk|ltg,,トーナル配色
ニルギリ,ニルギリ|Nilgiri Tea,黒茶の葉、明るい赤琥珀の湯が高地の香りを運ぶ,#5A3621,茶葉の焦茶,#95581D,茶湯の赤琥珀,#A5533B,葉芯の赤茶,#2B9426,高地葉の緑,d|dk|ltg,,ナチュラルハーモニー
コーン茶,コーン茶|Corn Tea,炒り玉蜀黍の金黄、茶湯の淡琥珀が香ばしい,#CB9731,炒り粒の金黄,#A7581B,茶湯の淡琥珀,#6E3625,焦げ目の茶,#E4DA55,粒芯の淡黄,d|ltg|sf,ツヤケシ,トーン・オン・トーン配色
ごぼう茶,ごぼう茶|Burdock Tea,乾燥根の黄茶、茶湯の琥珀と皮の焦茶が土香を残す,#BB9959,乾燥根の黄茶,#AE6731,茶湯の琥珀,#703F32,皮の焦茶,#EAE1D5,切口の生成り,d|dk|ltg,ツヤケシ,トーン・オン・トーン配色
杜仲茶,杜仲茶|Eucommia Tea,乾いた緑葉、淡褐色の湯と枝の茶が穏やか,#6E8544,乾燥葉の緑,#8E6724,茶湯の淡褐色,#4B3A2C,枝の茶,#85BB66,葉脈の淡緑,d|sf|ltg,ツヤケシ,ナチュラルハーモニー
ハトムギ茶,ハトムギ茶|Job's Tears Tea,白茶の実、煎り焦茶と淡い琥珀の湯が香ばしい,#DFD5C5,実の白茶,#855536,煎り実の焦茶,#A76925,茶湯の淡琥珀,#AA8735,殻の黄土,d|ltg|sf,ツヤケシ,トーナル配色
甜茶,甜茶|Sweet Tea Leaf,乾いた緑葉、赤茶の湯と淡黄の縁に甘みが残る,#526633,乾燥葉の緑,#BE4D39,茶湯の赤茶,#EEF165,湯縁の淡黄,#823E2C,枝の焦茶,d|dk|ltg,,ナチュラルハーモニー
柿の葉茶,柿の葉茶|Persimmon Leaf Tea,乾いた橙茶の葉、茶湯の琥珀と緑葉の記憶,#BF6030,乾燥葉の橙茶,#BD7834,茶湯の琥珀,#398341,生葉の緑,#BB8E3C,葉脈の黄土,d|dk|ltg,ツヤケシ,ナチュラルハーモニー
桑の葉茶,桑の葉茶|Mulberry Leaf Tea,深緑の乾葉、黄緑の茶湯と淡い茎色が穏やか,#336A44,乾燥葉の深緑,#6D9039,茶湯の黄緑,#CAA98E,茎の淡黄,#87B26D,葉裏の淡緑,d|sf|ltg,ツヤケシ,類似色相配色
みりん,みりん|Mirin,淡金の液、米麹の白と熟成の琥珀が艶を生む,#DCC85F,液色の淡金,#F6F6F4,米麹の白,#A67B26,熟成部の琥珀,#E3DED5,もち米の生成り,lt|sf|d,,トーンのグラデーション
白醤油,白醤油|Shiro Shoyu,淡い麦金の醤油、白麹と琥珀の縁が透ける,#CAA373,醤油の淡麦色,#F6F6F4,麹の白,#8E5225,透過光の琥珀,#9C753D,麦粒の黄土,lt|sf|d,,トーン・オン・トーン配色
たまり醤油,たまり醤油|Tamari Shoyu,濃い焦茶の液、赤琥珀の照りが重いうま味を映す,#4B3525,醤油の焦茶,#CB7935,透過光の赤琥珀,#AA8544,豆麹の黄土,#E7E1D0,泡の生成り,d|dk|dkg,,トーン・オン・トーン配色
再仕込み醤油,再仕込み醤油|Saishikomi Shoyu,深い茶褐色、赤琥珀の縁に二度仕込みの艶,#512D23,醤油の深茶,#925E23,透過光の赤琥珀,#B56941,熟成もろみの赤茶,#ECD132,泡の淡黄,d|dk|dkg,,トーン・オン・トーン配色
しょっつる,しょっつる|Shottsuru Fish Sauce,淡茶の魚醤、琥珀の透過光と塩の白が海を残す,#D2C48B,魚醤の淡茶,#A77F1E,透過光の琥珀,#F6F6F4,塩の白,#C4C4C4,魚皮の銀,d|ltg|sf,,ナチュラルハーモニー
いしる,いしる|Ishiru Fish Sauce,濃茶の魚醤、赤琥珀の照りと海藻緑が深い,#825B3E,魚醤の濃茶,#C08439,透過光の赤琥珀,#276C36,海藻の緑,#F6F6F4,塩の白,d|dk|dkg,,ナチュラルハーモニー
ひしお,ひしお|Hishio Fermented Paste,赤茶のもろみ、黄土の麦と豆が発酵香を重ねる,#A35934,もろみの赤茶,#C2A540,麦の黄土,#DAC8AC,大豆の淡黄,#745B40,熟成部の焦茶,d|dk|dkg,ツヤケシ,トーン・オン・トーン配色
ナンプラー,ナンプラー|Nam Pla,赤琥珀の魚醤、淡茶の塩気と銀魚の記憶,#D89725,魚醤の赤琥珀,#C3A983,液縁の淡茶,#C4C4C4,魚皮の銀,#B2251D,唐辛子の赤,d|ltg|s,,ナチュラルハーモニー
ニョクマム,ニョクマム|Nuoc Mam,琥珀の魚醤、赤茶の深みと塩の白が香りを締める,#866629,魚醤の琥珀,#A14829,熟成液の赤茶,#F6F6F4,塩の白,#42AF3C,青柑橘の緑,d|ltg|s,,ナチュラルハーモニー
コチュジャン,コチュジャン|Gochujang,深紅の味噌、赤茶の発酵色と黄土の麹が濃い,#A92647,ペーストの深紅,#7A3C33,熟成部の赤茶,#D4A142,麹の黄土,#F6F6F4,胡麻の白,s|d|dk,ツヤケシ,トーン・オン・トーン配色
豆板醤,豆板醤|Doubanjiang,赤褐色の豆味噌、鮮赤の油と黄土の豆が辛い,#C55031,味噌の赤褐色,#A42F2B,辣油の鮮赤,#9A8040,豆の黄土,#8D583E,発酵部の焦茶,s|d|dk,,トーン・オン・トーン配色
甜麺醤,甜麺醤|Tianmianjiang,濃い焦茶の甘味噌、赤茶の艶と黄土の麦が香る,#865F39,醤の焦茶,#A63D2A,照りの赤茶,#B09542,麦の黄土,#98641F,糖蜜の琥珀,d|dk|dkg,,トーン・オン・トーン配色
ぬか漬け,ぬか漬け|Nukazuke,黄土のぬか床、胡瓜緑と大根白に発酵香が染みる,#896938,ぬか床の黄土,#318E33,胡瓜の緑,#F6F6F4,大根の白,#E09345,人参の橙,s|d|ltg,ツヤケシ,ナチュラルハーモニー
ふなずし,ふなずし|Funazushi,乳白の飯、魚皮の銀と発酵の黄茶が深く香る,#DCD5CB,飯の乳白,#C4C4C4,魚皮の銀,#9A8232,熟成部の黄茶,#D87583,魚身の淡桃,d|ltg|sf,,ナチュラルハーモニー
くさや,くさや|Kusaya,焼魚の焦茶、銀皮と赤茶の焼け色に強い香り,#6A4231,焼肌の焦茶,#C4C4C4,魚皮の銀,#B46435,焼け目の赤茶,#F6F6F4,身の白,d|dk|ltg,,トーナル配色
へしこ,へしこ|Heshiko,糠の黄土、魚皮の銀と熟成赤茶に塩香が染みる,#C4A852,糠の黄土,#C4C4C4,魚皮の銀,#914923,熟成身の赤茶,#F6F6F4,塩の白,d|dk|ltg,ツヤケシ,ナチュラルハーモニー
