表示名,反応することば,ひとこと,色1,色1の名前,色2,色2の名前,色3,色3の名前,色4,色4の名前,トーン,質感,配色技法
グアバ,グアバ|guava,緑の果皮、珊瑚桃の果肉と白い種が南国を香らせる,#318C31,果皮の緑,#DB7867,果肉の珊瑚桃,#F6F6F4,種の白,#386E35,葉の深緑,b|s|d,,ナチュラルハーモニー
パパイヤ,パパイヤ|papaya,橙の果肉、黒い種と緑の果皮が南国の甘さを持つ,#E8894D,果肉の橙,#111111,種の黒,#3CC235,果皮の緑,#EFD65A,内皮の淡黄,v|s|d,,対照色相配色
ドラゴンフルーツ,ドラゴンフルーツ|dragon fruit|pitaya,紅桃の果皮、白い果肉と黒い種が鮮烈に対立する,#DD3FB1,果皮の紅紫,#F6F6F4,果肉の白,#111111,種の黒,#49AA5F,萼の緑,v|s|dp,,セパレーション
スターフルーツ,スターフルーツ|star fruit|carambola,黄いろい果実、淡緑の稜と透明な果肉が軽い,#E0DC65,果皮の黄,#76A96D,稜の淡緑,#DACAB8,果肉の淡黄,#37A52F,葉の緑,b|lt|sf,,類似色相配色
カシス,カシス|blackcurrant|cassis fruit,濃紫の果実、赤紫の果汁と緑葉が深く酸っぱい,#9338C1,果皮の濃紫,#A73386,果汁の赤紫,#4BA748,葉の緑,#F6F6F4,果粉の白,s|dp|d,,コンプレックスハーモニー
アプリコット,アプリコット|apricot,橙黄の果実、赤い頬と淡黄の果肉が柔らかい,#E16828,果皮の橙黄,#CD5786,頬の赤,#E0D46D,果肉の淡黄,#7C5730,種の茶,b|s|lt,,類似色相配色
プラム,プラム|plum fruit|plum,紫の果皮、紅い果肉と白い果粉が酸味を深める,#782FA0,果皮の紫,#D04771,果肉の紅,#F6F6F4,果粉の白,#5D4834,種の茶,s|dp|ltg,,コンプレックスハーモニー
チェリー,チェリー|cherry fruit|sweet cherry,艶のある赤い実、緑の軸と白い花が甘く弾ける,#E42647,果実の赤,#438E46,果軸の緑,#F6F6F4,花の白,#A76B34,種の黄土,v|s|lt,,ナチュラルハーモニー
洋梨,洋梨|pear|European pear,黄緑の果皮、白い果肉と赤茶の種が柔らかい,#7E8351,果皮の黄緑,#F6F6F4,果肉の白,#9B4033,種の赤茶,#38C264,葉の緑,b|sf|d,,ナチュラルハーモニー
イチジク,イチジク|fig fruit|fig,紫褐色の果皮、紅い果肉と白い乳液が甘い,#572E82,果皮の紫褐色,#D0767F,果肉の紅,#F6F6F4,乳液の白,#22412B,葉の深緑,s|d|ltg,,コンプレックスハーモニー
デーツ,デーツ|date fruit|dates,赤茶の果実、琥珀の果肉と黄土の種が濃密に甘い,#803E35,果皮の赤茶,#DBA729,果肉の琥珀,#A07E45,種の黄土,#83A043,葉の緑,d|dk|ltg,,トーン・オン・トーン配色
ヘーゼルナッツ,ヘーゼルナッツ|hazelnut,殻の黄茶、薄皮の赤茶と果肉の生成りが香ばしい,#C58341,殻の黄茶,#A16246,薄皮の赤茶,#E1DFCE,果肉の生成り,#309C4F,葉の緑,d|ltg|sf,ツヤケシ,ナチュラルハーモニー
アーモンド,アーモンド|almond,殻の薄茶、仁の生成りと花の淡桃がやさしく香る,#D4BE9A,殻の薄茶,#E3E0D6,仁の生成り,#E4A7AC,花の淡桃,#673D31,枝の焦茶,ltg|sf|d,ツヤケシ,トーナル配色
ピーカンナッツ,ピーカンナッツ|pecan,殻の赤茶、仁の黄茶と焦茶の溝が香ばしく深い,#7E3F22,殻の赤茶,#B79651,仁の黄茶,#5C3E31,溝の焦茶,#DBD4CA,割口の生成り,d|dk|ltg,ツヤケシ,トーン・オン・トーン配色
ピーナッツ,ピーナッツ|peanut,薄茶の殻、淡黄の豆と赤茶の薄皮が素朴に香る,#CBAC82,殻の薄茶,#EDEE4D,豆の淡黄,#C35E36,薄皮の赤茶,#DCD1BC,割口の生成り,d|ltg|sf,ツヤケシ,トーナル配色
エスプレッソ,エスプレッソ|espresso,深い焦茶の液、赤琥珀の縁と金色のクレマ,#866444,液の焦茶,#A17B1E,透過光の赤琥珀,#D5A560,クレマの金茶,#BB663B,焙煎豆の赤茶,d|dk|dkg,,トーン・オン・トーン配色
ココア,ココア|cocoa drink|cocoa,赤茶の粉、焦茶の液と乳白の泡が甘く重なる,#A65738,ココア粉の赤茶,#7A544A,液の焦茶,#ECE6DA,ミルクの乳白,#E7BF56,泡の淡黄,d|dk|ltg,ツヤケシ,トーン・オン・トーン配色
酒粕,酒粕|sake lees|sake kasu,乳白の粕、淡黄の発酵色と米粒が柔らかく香る,#DFD2C2,酒粕の乳白,#DAC45A,発酵部の淡黄,#F6F6F4,米粒の白,#C6B79E,熟成部の薄茶,p|lt|sf,,カマイユ配色
