表示名,反応することば,ひとこと,色1,色1の名前,色2,色2の名前,色3,色3の名前,色4,色4の名前,トーン,質感,配色技法
陀々堂の鬼はしり,陀々堂の鬼はしり|Dada-do Onihashiri,炎橙に炎芯赤。古寺の堂内を行列が彩る,#F08A50,炎の橙,#D02B37,炎芯の赤,#111111,夜の黒,#DEB52A,堂内の金,v|s|dp,ラメ,セパレーション
東光寺の鬼会,東光寺の鬼会|Tokoji Onie,炎橙と炎芯赤が播磨の寺内を鮮やかに照らす,#EA8315,炎の橙,#E9352E,炎芯の赤,#111111,夜の黒,#F6F6F4,装束の白,v|s|dp,,セパレーション
大磯の左義長,大磯の左義長|Oiso Sagicho,炎橙と炎芯赤。湘南の浜に祭りの色が立つ,#CD9237,炎の橙,#B83430,炎芯の赤,#111111,夜の黒,#3E6AD6,湘南の海青,v|s|dp,,セパレーション
酒津のトンドウ,酒津のトンドウ|Sakazu Tondou,炎橙に炎芯赤。鳥取の浜を行列が彩る,#E26B2D,炎の橙,#9A372A,炎芯の赤,#111111,夜の黒,#F6F6F4,装束の白,v|s|dp,ラメ,セパレーション
上郷の小正月行事,上郷の小正月行事|Kamisato Koshogatsu,藁黄土と祭具赤が雪の集落を鮮やかに照らす,#866D39,藁の黄土,#D41B16,祭具の赤,#F6F6F4,装束の白,#49AB6C,里山の緑,s|d|ltg,ツヤケシ,ナチュラルハーモニー
三島のサイノカミ,三島のサイノカミ|Mishima Sainokami,炎橙と炎芯赤。会津の雪原に祭りの色が立つ,#BB762F,炎の橙,#DD3243,炎芯の赤,#111111,夜の黒,#83C6DA,雪明かりの青,v|s|dp,,セパレーション
遊佐の小正月行事,遊佐の小正月行事|Yuza Koshogatsu,藁黄土に祭具赤。庄内の雪道を行列が彩る,#BE814A,藁の黄土,#C9202B,祭具の赤,#F6F6F4,装束の白,#3CAE30,里山の緑,s|d|ltg,ツヤケシ,ナチュラルハーモニー
米川の水かぶり,米川の水かぶり|Yonekawa Mizukaburi,水しぶき白と水面青が宮城の冬里を鮮やかに照らす,#F6F6F4,水しぶきの白,#2A9BD7,水面の青,#D13D4F,祭具の赤,#3CB467,土手の緑,b|s|lt,,ナチュラルハーモニー
見島のカセドリ,見島のカセドリ|Mishima Kasedori,藁黄土と祭具赤。佐賀の夜道に祭りの色が立つ,#9A5D24,藁の黄土,#CE495C,祭具の赤,#F6F6F4,装束の白,#237634,里山の緑,s|d|ltg,ツヤケシ,ナチュラルハーモニー
周防祖生の柱松,周防祖生の柱松|Suo Sobo Hashiramatsu,炎橙に炎芯赤。周防の夜を行列が彩る,#C95615,炎の橙,#C61A20,炎芯の赤,#111111,夜の黒,#F6F6F4,装束の白,v|s|dp,ラメ,セパレーション
因幡の菖蒲綱引き,因幡の菖蒲綱引き|Inaba Shobu Tsunahiki,藁黄土と祭具赤が鳥取の里道を鮮やかに照らす,#C59951,藁の黄土,#91291F,祭具の赤,#F6F6F4,装束の白,#1F7B29,里山の緑,s|d|ltg,ツヤケシ,ナチュラルハーモニー
但馬久谷の菖蒲綱引き,但馬久谷の菖蒲綱引き|Tajima Kutani Shobu Tsunahiki,藁黄土と祭具赤。但馬の村道に祭りの色が立つ,#C49C47,藁の黄土,#E02C3A,祭具の赤,#F6F6F4,装束の白,#278A21,里山の緑,s|d|ltg,,ナチュラルハーモニー
上州白久保のお茶講,上州白久保のお茶講|Joshu Shirokubo Ochako,供物黄土に祭具朱。上州の座敷を行列が彩る,#AB7C26,供物の黄土,#C3354D,祭具の朱,#F6F6F4,装束の白,#3DB353,里の緑,d|ltg|sf,ツヤケシ,ナチュラルハーモニー
春日の婿押し,春日の婿押し|Kasuga Muko-oshi,社殿朱と装束白が筑紫の社前を鮮やかに照らす,#EA522B,社殿の朱,#F6F6F4,装束の白,#E0AC37,飾りの金,#40A34C,境内の緑,s|dp|ltg,,セパレーション
泉山の登拝行事,泉山の登拝行事|Izumiyama Tohai,山緑と装束白。津軽の山道に祭りの色が立つ,#346644,山の緑,#F6F6F4,装束の白,#9B2A36,祭具の赤,#7DA9C5,朝空の青,s|d|ltg,,ナチュラルハーモニー
佐渡の車田植,佐渡の車田植|Sado Kurumadaue,水しぶき白に水面青。佐渡の水田を行列が彩る,#F6F6F4,水しぶきの白,#3785B5,水面の青,#AA1016,祭具の赤,#307544,土手の緑,b|s|lt,,ナチュラルハーモニー
阿蘇の農耕祭事,阿蘇の農耕祭事|Aso Noko Saiji,山緑と装束白が阿蘇の田野を鮮やかに照らす,#266027,山の緑,#F6F6F4,装束の白,#BB1714,祭具の赤,#6CADD9,朝空の青,s|d|ltg,,ナチュラルハーモニー
刈和野の大綱引き,刈和野の大綱引き|Kariwano Otsunahiki,藁黄土と祭具赤。雪国の町道に祭りの色が立つ,#A57446,藁の黄土,#CA4B39,祭具の赤,#F6F6F4,装束の白,#40A45E,里山の緑,s|d|ltg,,ナチュラルハーモニー
牛の角突きの習俗,牛の角突きの習俗|Ushi no Tsunotsuki,土黄土に祭具赤。越後の土俵を行列が彩る,#B19042,土の黄土,#CE4749,祭具の赤,#F6F6F4,装束の白,#3C9F3D,木立の緑,d|ltg|sf,ツヤケシ,ナチュラルハーモニー
岩槻の古式土俵入り,岩槻の古式土俵入り|Iwatsuki Koshiki Dohyoiri,土黄土と祭具赤が社前の土俵を鮮やかに照らす,#BBA15F,土の黄土,#D31723,祭具の赤,#F6F6F4,装束の白,#30A53D,木立の緑,d|ltg|sf,,ナチュラルハーモニー
木幡の幡祭り,木幡の幡祭り|Kohata Hata Matsuri,社殿朱と装束白。阿武隈の山道に祭りの色が立つ,#DE3F1B,社殿の朱,#F6F6F4,装束の白,#CCB62C,飾りの金,#2CB73B,境内の緑,s|dp|ltg,,セパレーション
樋越神明宮の春鍬祭,樋越神明宮の春鍬祭|Higoe Shinmeigu Harukuwa,土黄土に祭具赤。上州の田辺を行列が彩る,#CDAF41,土の黄土,#872536,祭具の赤,#F6F6F4,装束の白,#3BC22F,木立の緑,d|ltg|sf,,ナチュラルハーモニー
羽田のお山がけ,羽田のお山がけ|Hada Oyamagake,山緑と装束白が宮城の山道を鮮やかに照らす,#225E33,山の緑,#F6F6F4,装束の白,#CC2E21,祭具の赤,#8CC4CD,朝空の青,s|d|ltg,,ナチュラルハーモニー
神津島のかつお釣り行事,神津島のかつお釣り行事|Kozushima Katsuo-zuri,海青と祭具朱。伊豆の海に祭りの色が立つ,#2447C8,海の青,#E53B29,祭具の朱,#F6F6F4,波の白,#D5B890,浜の黄土,s|b|lt,,対照色相配色
粟生のおも講と堂徒式,粟生のおも講と堂徒式|Ao Omoko Dotoshiki,社殿朱に装束白。紀州の堂内を行列が彩る,#DB614F,社殿の朱,#F6F6F4,装束の白,#C5B34B,飾りの金,#318F47,境内の緑,s|dp|ltg,,セパレーション
川俣の元服式,川俣の元服式|Kawamata Genpukushiki,社殿朱と装束白が栃木の座敷を鮮やかに照らす,#BF3814,社殿の朱,#F6F6F4,装束の白,#B39B1F,飾りの金,#367030,境内の緑,s|dp|ltg,,セパレーション
奥能登のあえのこと,奥能登のあえのこと|Oku-Noto Aenokoto,供物黄土と祭具朱。能登の田の神座に祭りの色が立つ,#AC703A,供物の黄土,#DE3E36,祭具の朱,#F6F6F4,装束の白,#2DAD58,里の緑,d|ltg|sf,ツヤケシ,ナチュラルハーモニー
敦賀西町の綱引き,敦賀西町の綱引き|Tsuruga Nishimachi Tsunahiki,藁黄土に祭具赤。港町の路地を行列が彩る,#C89F3B,藁の黄土,#961527,祭具の赤,#F6F6F4,装束の白,#63BBD3,港空の青,s|d|ltg,,ナチュラルハーモニー
刈谷万燈祭,刈谷万燈祭|Kariya Mando Festival,万燈赤と灯火橙が夜の町筋を鮮やかに照らす,#E72724,万燈の赤,#E78659,灯火の橙,#111111,夜の黒,#CBB060,飾りの金,v|s|dp,ラメ,セパレーション
バナナ,バナナ|Banana Fruit,果皮黄と果肉乳白。熟した甘い香りが静かに香る,#F0D161,果皮の黄,#EAE8E1,果肉の乳白,#664B32,熟斑の焦茶,#388634,葉の緑,v|s|d,,ナチュラルハーモニー
キウイ,キウイ|Kiwifruit,果肉緑に種黒。青い酸味の余韻が広がる,#399841,果肉の緑,#111111,種の黒,#F6F6F4,芯の白,#795748,果皮の茶,s|d|ltg,,ナチュラルハーモニー
ハスカップ,ハスカップ|Haskap Berry,果皮濃青と果肉赤紫。濃い甘酸っぱさが静かに香る,#2E3079,果皮の濃青,#8C439F,果肉の赤紫,#7C1129,果汁の赤,#2D7944,葉の緑,s|d|ltg,,ナチュラルハーモニー
ブラックベリー,ブラックベリー|Blackberry Fruit,果実濃紫と熟果焦茶。濃いベリー香が静かに香る,#63299D,果実の濃紫,#50402D,熟果の焦茶,#6F1F22,果汁の赤,#4BBD3E,葉の緑,v|s|d,,ナチュラルハーモニー
ラズベリー,ラズベリー|Raspberry Fruit,果実赤に果肉桃。明るい酸甘香の余韻が広がる,#D63A3E,果実の赤,#D56F87,果肉の桃,#F6F6F4,芯の白,#2AAF2A,葉の緑,v|s|d,,対照色相配色
クランベリー,クランベリー|Cranberry Fruit,果実深紅と果肉淡桃が鋭い酸味の風味をつくる,#B92D53,果実の深紅,#E7AFB3,果肉の淡桃,#DCCE64,種の淡黄,#23943A,葉の緑,v|s|d,,ナチュラルハーモニー
グーズベリー,グーズベリー|Gooseberry Fruit,果皮黄緑と果肉淡緑。青い酸味が静かに香る,#618234,果皮の黄緑,#A3C098,果肉の淡緑,#E5CB7A,種の淡黄,#78462F,枝の茶,v|s|d,,ナチュラルハーモニー
ボイセンベリー,ボイセンベリー|Boysenberry Fruit,果実赤紫に果汁深紅。濃密な甘酸っぱさの余韻が広がる,#7D4FB1,果実の赤紫,#982946,果汁の深紅,#EFED53,種の淡黄,#26762D,葉の緑,v|s|d,,ナチュラルハーモニー
桑の実,桑の実|Mulberry Fruit,熟果紫と果汁赤が黒紫の甘い果汁の風味をつくる,#872DB7,熟果の紫,#7F1115,果汁の赤,#C04F71,未熟果の赤,#31BF5D,葉の緑,v|s|d,,ナチュラルハーモニー
マンゴスチン,マンゴスチン|Mangosteen Fruit,果皮紫と果肉白。白い果肉の甘香が静かに香る,#73347D,果皮の紫,#F6F6F4,果肉の白,#2DAD46,萼の緑,#85203B,果皮内の深紅,v|s|d,,対照色相配色
メロン,メロン|Muskmelon,果肉淡緑に果皮黄緑。青く甘い香りの余韻が広がる,#85B958,果肉の淡緑,#627345,果皮の黄緑,#F6F6F4,網目の白,#EDEE2D,種の淡黄,v|s|d,,ナチュラルハーモニー
柿,柿|Persimmon Fruit,果皮橙と果肉黄橙が熟した秋の甘みの風味をつくる,#E68F5D,果皮の橙,#CDA85D,果肉の黄橙,#43AC4B,葉の緑,#995934,ヘタの焦茶,v|s|d,,類似色相配色
みかん,みかん|Satsuma Mandarin,果皮橙と果肉淡橙。柔らかな柑橘香が静かに香る,#ED6B27,果皮の橙,#E79687,果肉の淡橙,#F6F6F4,筋の白,#40B762,葉の緑,v|s|d,,ナチュラルハーモニー
クレメンタイン,クレメンタイン|Clementine Fruit,果皮橙と果肉黄橙。軽やかな柑橘香が静かに香る,#EC9A24,果皮の橙,#AF7727,果肉の黄橙,#F6F6F4,わたの白,#2F6A30,葉の緑,v|s|d,,類似色相配色
ネーブルオレンジ,ネーブルオレンジ|Navel Orange Fruit,果皮濃橙と果肉橙が濃い甘酸っぱさの風味をつくる,#E58B45,果皮の濃橙,#E28078,果肉の橙,#F6F6F4,わたの白,#399930,葉の緑,v|s|d,,ナチュラルハーモニー
ブラッドオレンジ,ブラッドオレンジ|Blood Orange Fruit,果肉深紅と果皮橙。赤い柑橘の甘酸味が静かに香る,#6F1C29,果肉の深紅,#DC9C47,果皮の橙,#F6F6F4,わたの白,#399351,葉の緑,v|s|d,,ナチュラルハーモニー
レッドグレープ,レッドグレープ|Red Grape Fruit,果皮赤紫に果汁赤。赤紫の果実香の余韻が広がる,#6F3B90,果皮の赤紫,#B84C5C,果汁の赤,#7C4D2A,種の茶,#378D2F,葉の緑,v|s|d,,ナチュラルハーモニー
マスカット,マスカット|Muscat Grape Fruit,果皮黄緑と果肉淡緑が青い葡萄香の風味をつくる,#727D2E,果皮の黄緑,#83AB6F,果肉の淡緑,#7F3C2A,種の茶,#398D3E,葉の緑,s|d|ltg,,ナチュラルハーモニー
パイナップル,パイナップル|Pineapple Fruit,果肉黄と皮黄土。甘酸っぱい南国香が静かに香る,#E3C745,果肉の黄,#A48A2E,皮の黄土,#2A753B,葉の緑,#694023,皮目の焦茶,v|s|d,,ナチュラルハーモニー
アセロラ,アセロラ|Acerola Fruit,果実赤に果肉橙赤。赤い強い酸味の余韻が広がる,#9C302A,果実の赤,#CA6852,果肉の橙赤,#DEC461,種の淡黄,#287921,葉の緑,v|s|d,,対照色相配色
チャービル,チャービル|Chervil Herb,葉緑と茎淡緑が繊細な青い香りの風味をつくる,#3C9257,葉の緑,#99C072,茎の淡緑,#F6F6F4,花の白,#4C3220,種の茶,s|d|ltg,,ナチュラルハーモニー
セイボリー,セイボリー|Savory Herb,葉深緑と花淡紫。胡椒に似た香りが静かに香る,#2C562A,葉の深緑,#C3AFDB,花の淡紫,#5C4136,茎の茶,#5C7537,乾燥葉の黄緑,s|d|ltg,,ナチュラルハーモニー
キャットニップ,キャットニップ|Catnip Herb,葉淡緑に花白。青く軽い草香の余韻が広がる,#A3BF85,葉の淡緑,#F6F6F4,花の白,#9531AE,花斑の紫,#29702C,茎の緑,v|s|d,,ナチュラルハーモニー
ボリジ,ボリジ|Borage Herb,花青と花芯黒が青花の涼しい香りの風味をつくる,#1B569C,花の青,#111111,花芯の黒,#2EC254,葉の緑,#F6F6F4,産毛の白,v|s|d,,ナチュラルハーモニー
アレッポペッパー,アレッポペッパー|Aleppo Pepper,粉赤と乾燥果皮赤茶。穏やかな辛香が静かに香る,#D8173A,粉の赤,#70322B,乾燥果皮の赤茶,#F5EF7D,種の淡黄,#D6632D,油の橙,v|s|d,ツヤケシ,類似色相配色
ウルファビベル,ウルファビベル|Urfa Biber,粉深紅に乾燥果皮焦茶。黒赤い燻香の余韻が広がる,#7D101F,粉の深紅,#83684E,乾燥果皮の焦茶,#B64E36,油の赤茶,#DECE3D,種の淡黄,v|s|d,,ナチュラルハーモニー
エスプレット唐辛子,エスプレット唐辛子|Espelette Pepper,果皮赤と粉朱が甘みのある辛香の風味をつくる,#C4412E,果皮の赤,#EE4C3A,粉の朱,#E6D992,種の淡黄,#38824D,ヘタの緑,v|s|d,,対照色相配色
ブラックライム,ブラックライム|Black Lime,乾燥果皮焦茶と内皮淡茶。乾いた酸香が静かに香る,#66412B,乾燥果皮の焦茶,#C3AF96,内皮の淡茶,#B98A41,果肉の黄土,#4BAE5C,生果の緑,s|d|ltg,,ナチュラルハーモニー
スモークソルト,スモークソルト|Smoked Salt,塩晶白に燻し茶。煙をまとった塩味の余韻が広がる,#F6F6F4,塩晶の白,#7A4839,燻しの茶,#444444,煙の灰,#9E5743,薪の赤茶,d|dk|ltg,,ナチュラルハーモニー
セロリソルト,セロリソルト|Celery Salt,塩白とセロリ葉緑が青い塩味の風味をつくる,#F6F6F4,塩の白,#259430,セロリ葉の緑,#6C4B41,種の茶,#70BD63,茎の淡緑,s|d|ltg,,ナチュラルハーモニー
アンチョチリ,アンチョチリ|Ancho Chile,果皮赤茶と乾燥部焦茶。甘い乾燥唐辛子香が静かに香る,#B25A40,果皮の赤茶,#785433,乾燥部の焦茶,#F0DC2B,種の淡黄,#B22045,粉の赤,v|s|d,ツヤケシ,ナチュラルハーモニー
グアヒージョ,グアヒージョ|Guajillo Chile,果皮赤に乾燥部赤茶。明るい赤い辛香の余韻が広がる,#8B252B,果皮の赤,#893E21,乾燥部の赤茶,#EFD836,種の淡黄,#D75738,粉の朱,v|s|d,,類似色相配色
パシージャ,パシージャ|Pasilla Chile,果皮焦茶と果皮赤茶が深い果実辛香の風味をつくる,#553A1D,果皮の焦茶,#823429,果皮の赤茶,#F0E553,種の淡黄,#981739,粉の深紅,v|s|d,,ナチュラルハーモニー
カスカベル,カスカベル|Cascabel Chile,乾燥果皮赤茶と種淡黄。丸い香ばしい辛香が静かに香る,#9C432B,乾燥果皮の赤茶,#D3D741,種の淡黄,#D2414A,粉の赤,#7D5F4A,ヘタの焦茶,v|s|d,,類似色相配色
ドゥッカ,ドゥッカ|Dukkah Spice Blend,胡麻白に香辛料黄土。胡麻と木の実の香りの余韻が広がる,#F6F6F4,胡麻の白,#8D642C,香辛料の黄土,#6E3E2D,木の実の茶,#999F4E,ハーブの緑,s|d|ltg,ツヤケシ,ナチュラルハーモニー
東方美人茶,東方美人茶|Oriental Beauty Tea,茶葉赤茶と茶湯琥珀が蜜香の烏龍茶の風味をつくる,#BF5D3E,茶葉の赤茶,#994E18,茶湯の琥珀,#F6F6F4,芽の白,#3A8140,葉の緑,s|d|ltg,,ナチュラルハーモニー
鉄観音,鉄観音|Tieguanyin Tea,茶葉深緑と茶湯金。蘭のような烏龍香が静かに香る,#1C4E24,茶葉の深緑,#DA9D2A,茶湯の金,#7E8044,揉み葉の緑,#F6F6F4,泡の白,s|d|ltg,,ナチュラルハーモニー
凍頂烏龍茶,凍頂烏龍茶|Dong Ding Oolong,茶葉緑褐色に茶湯琥珀。焙煎と花の香りの余韻が広がる,#71894A,茶葉の緑褐色,#81622A,茶湯の琥珀,#865A3A,焙煎葉の茶,#7CBA75,芽の淡緑,s|d|ltg,,ナチュラルハーモニー
阿里山茶,阿里山茶|Alishan Tea,茶葉緑と茶湯淡金が高山の清い花香の風味をつくる,#2D9D28,茶葉の緑,#B5911D,茶湯の淡金,#92AC83,芽の淡緑,#F6F6F4,霧の白,s|d|ltg,,ナチュラルハーモニー
龍井茶,龍井茶|Longjing Tea,茶葉黄緑と新芽緑。炒り葉の爽やかさが静かに香る,#94AE42,茶葉の黄緑,#31CD48,新芽の緑,#E4D170,茶湯の淡黄,#F6F6F4,芽毛の白,v|s|d,,ナチュラルハーモニー
碧螺春,碧螺春|Biluochun Tea,茶葉緑に芽銀白。若葉と果実の香りの余韻が広がる,#208535,茶葉の緑,#C4C4C4,芽の銀白,#E0E342,茶湯の淡黄,#74AF5F,若葉の淡緑,v|s|d,,ナチュラルハーモニー
六堡茶,六堡茶|Liubao Tea,茶葉焦茶と茶湯赤茶。熟成した木と土の香りが静かに香る,#5D4838,茶葉の焦茶,#B56739,茶湯の赤茶,#AA7941,熟成部の黄土,#A76119,湯縁の琥珀,d|dk|ltg,,ナチュラルハーモニー
雲南紅茶,雲南紅茶|Dianhong Tea,茶葉赤茶と茶湯赤琥珀。甘い蜜香の紅茶が静かに香る,#995C3F,茶葉の赤茶,#B86B1C,茶湯の赤琥珀,#C08938,金芽の金,#F1C741,泡の淡黄,v|s|d,,類似色相配色
モカコーヒー,モカコーヒー|Mocha Coffee,豆焦茶に抽出液赤茶。果実味のある珈琲香の余韻が広がる,#86592D,豆の焦茶,#884037,抽出液の赤茶,#DBB25A,クレマの金,#B0231D,果実の赤,v|s|d,,類似色相配色
マンデリン,マンデリン|Mandheling Coffee,豆焦茶と抽出液濃茶。土とハーブの深い香りが静かに香る,#985D32,豆の焦茶,#B35027,抽出液の濃茶,#CFAF25,クレマの金,#204522,葉の深緑,s|d|ltg,,ナチュラルハーモニー
ブルーマウンテン,ブルーマウンテン|Blue Mountain Coffee,焙煎豆焦茶と抽出液琥珀。澄んだ甘い珈琲香が静かに香る,#724D3B,焙煎豆の焦茶,#976421,抽出液の琥珀,#C79829,クレマの淡金,#7EBBDC,山霧の青,s|d|ltg,,ナチュラルハーモニー
ゲイシャコーヒー,ゲイシャコーヒー|Gesha Coffee,焙煎豆茶と抽出液琥珀。花と柑橘の華やかさが静かに香る,#91633E,焙煎豆の茶,#8A541F,抽出液の琥珀,#F6F6F4,花の白,#C6203C,果実の赤,v|s|d,,ナチュラルハーモニー
コールドブリュー,コールドブリュー|Cold Brew Coffee,抽出液焦茶と透過光琥珀。冷たい透明感に印象が残る,#6E553B,抽出液の焦茶,#AB7028,透過光の琥珀,#F6F6F4,氷の白,#9CC6E5,グラス影の青,s|d|ltg,,ナチュラルハーモニー
カプチーノ,カプチーノ|Cappuccino,焦茶と白い泡。まろやかな珈琲香が広がる,#4B3025,エスプレッソの焦茶,#F6F6F4,ミルク泡の白,#D0AC6E,クレマの金,#A23E24,ココア粉の赤茶,d|dk|ltg,,ナチュラルハーモニー
フラットホワイト,フラットホワイト|Flat White Coffee,コーヒー焦茶とミルク白。薄い泡と濃い珈琲が静かに香る,#462F28,コーヒーの焦茶,#F6F6F4,ミルクの白,#D8AB29,クレマの淡金,#444444,カップ影の灰,d|dk|ltg,,ナチュラルハーモニー
べったら漬け,べったら漬け|Bettarazuke,大根白と麹乳白が甘い麹の漬物香の風味をつくる,#F6F6F4,大根の白,#E5E1CF,麹の乳白,#F3E68E,漬汁の淡黄,#378B4D,葉の緑,v|s|d,ツヤケシ,ナチュラルハーモニー
すぐき漬け,すぐき漬け|Sugukizuke,蕪葉緑と根白。乳酸の鋭い酸味が静かに香る,#2EBE40,蕪葉の緑,#F6F6F4,根の白,#969E3B,漬け色の黄緑,#614021,樽の茶,s|d|ltg,ツヤケシ,ナチュラルハーモニー
千枚漬け,千枚漬け|Senmaizuke,蕪白に昆布深緑。昆布香の淡い甘酢の余韻が広がる,#F6F6F4,蕪の白,#246734,昆布の深緑,#B43027,唐辛子の赤,#D9BA4C,酢の淡黄,v|s|d,ツヤケシ,類似色相配色
野沢菜漬け,野沢菜漬け|Nozawana Pickles,葉深緑と茎緑が青菜の発酵香の風味をつくる,#336C45,葉の深緑,#279C37,茎の緑,#A07224,漬汁の黄土,#F6F6F4,塩の白,s|d|ltg,ツヤケシ,ナチュラルハーモニー
高菜漬け,高菜漬け|Takana Pickles,葉深緑と漬け葉黄緑。濃い青菜の塩香が静かに香る,#1B4818,葉の深緑,#7B9447,漬け葉の黄緑,#A72B36,唐辛子の赤,#F6F6F4,塩の白,v|s|d,ツヤケシ,ナチュラルハーモニー
奈良漬け,奈良漬け|Narazuke,瓜黄土に粕床赤茶。酒粕の甘い熟成香の余韻が広がる,#927C2E,瓜の黄土,#794122,粕床の赤茶,#683223,熟成部の焦茶,#E0D9D1,酒粕の生成り,d|dk|ltg,ツヤケシ,ナチュラルハーモニー
しば漬け,しば漬け|Shibazuke,漬け色赤紫と胡瓜緑。紫蘇と酸味の漬物香が静かに香る,#7A36A0,漬け色の赤紫,#46B66E,胡瓜の緑,#363D7A,茄子皮の紺,#DFDD78,生姜の淡黄,v|s|d,ツヤケシ,ナチュラルハーモニー
いぶりがっこ,いぶりがっこ|Iburigakko,大根黄土と燻し皮焦茶。燻煙と大根の甘みが静かに香る,#A78441,大根の黄土,#7F523D,燻し皮の焦茶,#F1E96D,切口の淡黄,#444444,煙の灰,v|s|d,,ナチュラルハーモニー
三五八漬け,三五八漬け|Sagohachizuke,麹床乳白に野菜緑。麹の甘みと塩味の余韻が広がる,#CFC5BA,麹床の乳白,#3FA435,野菜の緑,#ED883F,人参の橙,#F6F6F4,塩の白,v|s|d,ツヤケシ,ナチュラルハーモニー
松前漬け,松前漬け|Matsumaezuke,昆布深緑と烏賊白が昆布と烏賊の旨みの風味をつくる,#2A5C29,昆布の深緑,#F6F6F4,烏賊の白,#BD561F,人参の橙,#A55C24,漬汁の琥珀,v|s|d,ツヤケシ,ナチュラルハーモニー
キムチ,キムチ|Kimchi,白菜白と唐辛子赤。赤い発酵辛味が静かに香る,#F6F6F4,白菜の白,#D62C32,唐辛子の赤,#347D30,葉の緑,#EEA24C,漬汁の橙,v|s|d,,対照色相配色
ザワークラウト,ザワークラウト|Sauerkraut,キャベツ白に葉淡緑。乳酸の白い酸味の余韻が広がる,#F6F6F4,キャベツの白,#92BC8C,葉の淡緑,#F1E77F,発酵汁の淡黄,#8D5340,香辛料の茶,v|s|d,,ナチュラルハーモニー
テンペ,テンペ|Tempeh,菌糸白と大豆淡黄が豆と菌糸の発酵香の風味をつくる,#F6F6F4,菌糸の白,#E2E286,大豆の淡黄,#C79972,豆皮の薄茶,#B8912D,発酵部の黄土,v|s|d,ツヤケシ,ナチュラルハーモニー
豆鼓,豆鼓|Douchi Fermented Black Beans,豆焦茶と発酵部赤茶。豆の濃い発酵旨みが静かに香る,#89512F,豆の焦茶,#A15A2E,発酵部の赤茶,#F6F6F4,塩の白,#EB932E,香味油の橙,v|s|d,ツヤケシ,ナチュラルハーモニー
腐乳,腐乳|Fermented Bean Curd,豆腐乳白に紅麹赤。豆腐と麹の濃厚香の余韻が広がる,#E0D7C0,豆腐の乳白,#9C191E,紅麹の赤,#B9743A,漬汁の琥珀,#BB9E43,発酵部の黄土,v|s|d,,ナチュラルハーモニー
