表示名,反応することば,ひとこと,色1,色1の名前,色2,色2の名前,色3,色3の名前,色4,色4の名前,トーン,質感,配色技法
能登凧,能登凧|Noto Kite,和紙白と祭文赤。能登の海風に郷土の色が立つ,#F6F6F4,和紙の白,#AF8641,竹骨の黄土,#111111,墨の黒,#2F2890,海の藍,s|d|ltg,,セパレーション
隠岐いぐり凧,隠岐いぐり凧|Oki Iguri Kite,渦文赤と渦文青。隠岐の島風に郷土の色が立つ,#D5351F,渦文の赤,#355AB1,渦文の青,#F6F6F4,和紙の白,#111111,墨の黒,v|s|dp,,セパレーション
唐傘凧,唐傘凧|Karakasa Kite,傘面朱と骨黒。西日本の冬空に郷土の色が立つ,#CD2522,傘面の朱,#111111,骨の黒,#F6F6F4,和紙の白,#DCE261,飾りの黄,v|s|dp,,セパレーション
須磨張子,須磨張子|Suma Hariko,胡粉白と衣朱。港町の張子飾りに郷土の色が立つ,#F6F6F4,胡粉の白,#CD4050,衣の朱,#3698D3,衣の群青,#CFA96B,飾りの金,v|s|dp,ツヤケシ,対照色相配色
鞍馬の虎,鞍馬の虎|Kurama Tiger Toy,虎身黄と縞黒。鞍馬の土産棚に郷土の色が立つ,#F3EB85,虎身の黄,#111111,縞の黒,#E92D41,口の朱,#50301D,台木の焦茶,v|s|dp,,セパレーション
吉備津土人形,吉備津土人形|Kibitsu Clay Doll,胡粉白と衣朱。吉備の土人形棚に郷土の色が立つ,#F6F6F4,胡粉の白,#EA2D2A,衣の朱,#2278D6,衣の群青,#BB7421,飾りの金,v|s|dp,ツヤケシ,対照色相配色
鹿猿,鹿猿|Shikasaru Folk Toy,鹿身黄土と猿衣朱。安芸の木地玩具に郷土の色が立つ,#A6793A,鹿身の黄土,#C13A2D,猿衣の朱,#111111,墨の黒,#BE9779,木地の白茶,s|d|ltg,,対照色相配色
津の俵牛,津の俵牛|Tsu Tawara-ushi,牛身黒と俵黄土。伊勢路の祝い棚に郷土の色が立つ,#111111,牛身の黒,#CCA34A,俵の黄土,#A3160F,飾り紐の赤,#704A37,俵縄の茶,s|d|ltg,,セパレーション
青森の兎,青森の兎|Aomori Rabbit Toy,兎身白と耳内桃。雪国の玩具棚に郷土の色が立つ,#F6F6F4,兎身の白,#C87B97,耳内の桃,#99251E,眼の赤,#4EB943,台の緑,v|s|dp,,対照色相配色
笹野彫,笹野彫|Sasano Ittobori,木地白茶と彩色赤。山形の木彫棚に郷土の色が立つ,#CBB784,木地の白茶,#CC3B57,彩色の赤,#F4E18B,彩色の黄,#379859,彩色の緑,v|s|dp,,対照色相配色
初辰の猫,初辰の猫|Hatsutatsu Cat,猫身白と耳赤。大阪の授与棚に郷土の色が立つ,#F6F6F4,猫身の白,#D92630,耳の赤,#E29C43,鈴の金,#418F3D,台座の緑,s|d|ltg,,セパレーション
種貸しさん,種貸しさん|Tanekashi Folk Toy,衣朱と顔白。大阪の授与棚に郷土の色が立つ,#D3374C,衣の朱,#F6F6F4,顔の白,#111111,髪の黒,#D4BD2C,飾りの金,s|d|ltg,,セパレーション
清水豆人形,清水豆人形|Kiyomizu Miniature Doll,胡粉白と衣朱。京都の豆人形棚に郷土の色が立つ,#F6F6F4,胡粉の白,#BC1F35,衣の朱,#4B6BCC,衣の群青,#CBA720,飾りの金,v|s|dp,ツヤケシ,対照色相配色
きりん獅子,きりん獅子|Kirin-jishi Toy,獅子頭赤と鬣黒。鳥取の祭玩具に郷土の色が立つ,#D11520,獅子頭の赤,#111111,鬣の黒,#B5982C,装束の金,#F6F6F4,歯の白,s|d|ltg,,セパレーション
出雲鯛車,出雲鯛車|Izumo Tai-guruma,鯛身赤と鱗金。山陰の祝い棚に郷土の色が立つ,#E93119,鯛身の赤,#D49B3A,鱗の金,#111111,車輪の黒,#F6F6F4,腹の白,s|d|ltg,,セパレーション
長浜人形,長浜人形|Nagahama Clay Doll,胡粉白と衣朱。島根の土人形棚に郷土の色が立つ,#F6F6F4,胡粉の白,#CC2A36,衣の朱,#2150B3,衣の群青,#A68732,飾りの金,v|s|dp,ツヤケシ,対照色相配色
赤坂人形,赤坂人形|Akasaka Clay Doll,胡粉白と衣朱。筑後の土人形棚に郷土の色が立つ,#F6F6F4,胡粉の白,#A43020,衣の朱,#276CC1,衣の群青,#DCA428,飾りの金,v|s|dp,ツヤケシ,対照色相配色
大森麦わら細工の虎,大森麦わら細工の虎|Omori Straw Tiger,麦わら黄土と虎縞黒。大森の麦わら棚に郷土の色が立つ,#BB9660,麦わらの黄土,#111111,虎縞の黒,#A72427,口の朱,#F6F6F4,眼の白,s|d|ltg,ツヤケシ,セパレーション
会津張子虎車,会津張子虎車|Aizu Hariko Tiger Cart,虎身黄と縞黒。会津の張子棚に郷土の色が立つ,#EBC464,虎身の黄,#111111,縞の黒,#981319,口の朱,#F6F6F4,胡粉の白,v|s|dp,ツヤケシ,セパレーション
三春張子首ふり虎,三春張子首ふり虎|Miharu Bobble-head Tiger,虎身黄と縞黒。三春の張子棚に郷土の色が立つ,#F3ED76,虎身の黄,#111111,縞の黒,#AC2F41,口の朱,#8E613E,台木の焦茶,v|s|dp,ツヤケシ,セパレーション
下川原土人形虎笛,下川原土人形虎笛|Shitakawara Tiger Whistle,虎身黄と縞黒。津軽の土人形棚に郷土の色が立つ,#F2D03F,虎身の黄,#111111,縞の黒,#CD3823,口の朱,#80522B,笛孔の焦茶,v|s|dp,ツヤケシ,セパレーション
亀戸張子首ふり虎,亀戸張子首ふり虎|Kameido Hariko Tiger,虎身黄と縞黒。関東の張子棚に郷土の色が立つ,#E3E491,虎身の黄,#111111,縞の黒,#BA3B33,口の朱,#5C3328,台木の焦茶,v|s|dp,ツヤケシ,セパレーション
那珂湊横向き虎,那珂湊横向き虎|Nakaminato Side-facing Tiger,虎身黄と縞黒。港町の張子棚に郷土の色が立つ,#E2CD86,虎身の黄,#111111,縞の黒,#AA213A,口の朱,#9A4A35,台木の焦茶,v|s|dp,,セパレーション
金沢千両虎,金沢千両虎|Kanazawa Senryo Tiger,虎身黄と縞黒。金沢の祝い棚に郷土の色が立つ,#F5EB91,虎身の黄,#111111,縞の黒,#B29E20,千両箱の金,#BF331F,口の朱,v|s|dp,,対照色相配色
静岡張子虎,静岡張子虎|Shizuoka Hariko Tiger,虎身黄と縞黒。駿河の張子棚に郷土の色が立つ,#F1E865,虎身の黄,#111111,縞の黒,#D8503B,口の朱,#257FCE,飾り紐の青,v|s|dp,ツヤケシ,セパレーション
清水虎車,清水虎車|Shimizu Tiger Cart,虎身黄と縞黒。清水の玩具棚に郷土の色が立つ,#E7CB4F,虎身の黄,#111111,縞の黒,#913225,口の朱,#856545,車輪の焦茶,v|s|dp,,セパレーション
名古屋虎車,名古屋虎車|Nagoya Tiger Cart,虎身黄と縞黒。尾張の玩具棚に郷土の色が立つ,#E0CA42,虎身の黄,#111111,縞の黒,#E61A39,口の朱,#1A245E,飾り紐の藍,v|s|dp,,セパレーション
大阪張子虎,大阪張子虎|Osaka Hariko Tiger,虎身黄と縞黒。大阪の張子棚に郷土の色が立つ,#EFDC2E,虎身の黄,#111111,縞の黒,#DA201A,口の朱,#F6F6F4,胡粉の白,v|s|dp,ツヤケシ,セパレーション
姫路張子虎,姫路張子虎|Himeji Hariko Tiger,虎身黄と縞黒。播磨の張子棚に郷土の色が立つ,#E5E79D,虎身の黄,#111111,縞の黒,#DA324A,口の朱,#24216D,飾り紐の藍,v|s|dp,ツヤケシ,セパレーション
大津張子座り虎,大津張子座り虎|Otsu Sitting Tiger,虎身黄と縞黒。阿波の張子棚に郷土の色が立つ,#E3D057,虎身の黄,#111111,縞の黒,#962331,口の朱,#906237,台木の焦茶,v|s|dp,ツヤケシ,セパレーション
柳川張子首ふり虎車,柳川張子首ふり虎車|Yanagawa Tiger Cart,虎身黄と縞黒。柳川の張子棚に郷土の色が立つ,#E1BC49,虎身の黄,#111111,縞の黒,#A02210,口の朱,#8B4E34,車輪の焦茶,v|s|dp,ツヤケシ,セパレーション
博多起き上がり虎,博多起き上がり虎|Hakata Roly-poly Tiger,虎身黄と縞黒。博多の玩具棚に郷土の色が立つ,#E5C85B,虎身の黄,#111111,縞の黒,#9D102A,口の朱,#874138,底部の赤茶,v|s|dp,,セパレーション
高松運動人形,高松運動人形|Takamatsu Moving Doll,胡粉白と衣朱。讃岐の玩具棚に郷土の色が立つ,#F6F6F4,胡粉の白,#B0161C,衣の朱,#1937A5,衣の群青,#B27730,飾りの金,v|s|dp,ツヤケシ,対照色相配色
行者にんにくしょうゆ漬け,行者にんにくしょうゆ漬け|Pickled Alpine Leek in Soy Sauce,葉深緑と漬け茎黄緑。山菜と醤油の香りの香味が広がる,#1F501C,葉の深緑,#9CA14B,漬け茎の黄緑,#F6F6F4,塩の白,#D37731,漬汁の琥珀,d|dk|ltg,ツヤケシ,ナチュラルハーモニー
金婚漬け,金婚漬け|Kinkonzuke Pickles,昆布深緑と人参橙。根菜の深い漬け香の香味が広がる,#265B36,昆布の深緑,#ED8F2F,人参の橙,#F6F6F4,大根の白,#AC611F,漬汁の琥珀,d|dk|ltg,ツヤケシ,ナチュラルハーモニー
焼畑あつみかぶ漬,焼畑あつみかぶ漬|Atsumi Turnip Pickles,根菜赤紫と漬け汁赤。赤かぶの酸味の香味が広がる,#9935CE,根菜の赤紫,#D32335,漬け汁の赤,#F6F6F4,塩の白,#347A3F,葉の緑,v|s|d,ツヤケシ,対照色相配色
青菜漬,青菜漬|Seisai Pickles,葉深緑と漬け茎黄緑。青菜の辛い香りの香味が広がる,#203F2A,葉の深緑,#5B7439,漬け茎の黄緑,#F6F6F4,塩の白,#8E6220,漬汁の琥珀,d|dk|ltg,ツヤケシ,ナチュラルハーモニー
大山の粕漬,大山の粕漬|Oyama Kasuzuke,酒粕生成りと瓜黄緑。酒粕の甘い漬け香の香味が広がる,#D4CBC0,酒粕の生成り,#646631,瓜の黄緑,#BC8641,漬け色の黄土,#612E21,樽の茶,d|dk|ltg,ツヤケシ,ナチュラルハーモニー
三年子らっきょ,三年子らっきょ|Sannengo Rakkyo Pickles,白いらっきょうと淡黄の甘酢。小粒の甘みが残る,#F6F6F4,らっきょうの白,#DFE539,甘酢の淡黄,#DFADB2,皮の薄桃,#49B15B,葉の緑,v|s|d,,ナチュラルハーモニー
すこ,すこ|Fukui Suko Pickles,赤ずいき赤紫と甘酢赤。赤ずいきの甘酢の香味が広がる,#993FA5,赤ずいきの赤紫,#D95685,甘酢の赤,#9DC098,茎の淡緑,#F6F6F4,器の白,d|dk|ltg,,ナチュラルハーモニー
白瓜漬け,白瓜漬け|White Gourd Pickles,瓜皮緑と果肉白。瓜の青い漬け香の香味が広がる,#30CB52,瓜皮の緑,#F6F6F4,果肉の白,#DBC867,漬け色の淡黄,#A36719,漬汁の琥珀,v|s|d,ツヤケシ,ナチュラルハーモニー
伊勢たくあん,伊勢たくあん|Ise Takuan,根菜白と漬け色淡黄。干し大根の旨みの香味が広がる,#F6F6F4,根菜の白,#E2DA36,漬け色の淡黄,#E62A36,唐辛子の赤,#A6801B,漬汁の琥珀,v|s|d,,ナチュラルハーモニー
日野菜漬け,日野菜漬け|Hinona Pickles,根赤紫と葉緑。紫赤の蕪香の香味が広がる,#6A2883,根の赤紫,#468B3E,葉の緑,#F6F6F4,根先の白,#F0F031,漬汁の淡黄,v|s|d,ツヤケシ,ナチュラルハーモニー
広島菜漬け,広島菜漬け|Hiroshimana Pickles,葉深緑と漬け茎黄緑。鮮やかな菜漬け香の香味が広がる,#346537,葉の深緑,#8A9A52,漬け茎の黄緑,#F6F6F4,塩の白,#BD8922,漬汁の琥珀,d|dk|ltg,ツヤケシ,ナチュラルハーモニー
らっきょう漬け,らっきょう漬け|Pickled Rakkyo,らっきょう白と甘酢淡黄。甘酢と香味の香味が広がる,#F6F6F4,らっきょうの白,#DCD960,甘酢の淡黄,#A01E2A,唐辛子の赤,#43B96F,葉の緑,v|s|d,ツヤケシ,対照色相配色
津田かぶ漬け,津田かぶ漬け|Tsuda Turnip Pickles,根菜赤紫と漬け汁赤。赤かぶの乳酸香の香味が広がる,#8D30B6,根菜の赤紫,#E9442D,漬け汁の赤,#F6F6F4,塩の白,#318E35,葉の緑,v|s|d,ツヤケシ,対照色相配色
緋のかぶら漬け,緋のかぶら漬け|Hi-no-kabura Pickles,蕪緋赤と葉緑。緋色の蕪と甘酢の香味が広がる,#751519,蕪の緋赤,#2A7426,葉の緑,#F1C951,甘酢の淡黄,#F6F6F4,切口の白,v|s|d,ツヤケシ,ナチュラルハーモニー
イタドリの塩蔵,イタドリの塩蔵|Salted Japanese Knotweed,茎緑と茎内白。山菜の塩味の香味が広がる,#31C85B,茎の緑,#F6F6F4,茎内の白,#C4C4C4,塩の白晶,#863730,皮の赤茶,d|dk|ltg,,ナチュラルハーモニー
唐人菜漬け,唐人菜漬け|Tojinna Pickles,葉深緑と漬け茎黄緑。青菜の乳酸香の香味が広がる,#254F25,葉の深緑,#6B8535,漬け茎の黄緑,#F6F6F4,塩の白,#865728,漬汁の琥珀,d|dk|ltg,ツヤケシ,ナチュラルハーモニー
赤ど漬け,赤ど漬け|Akado Pickles,根菜赤紫と漬け汁赤。赤茎の酸味の香味が広がる,#8632A8,根菜の赤紫,#E7314A,漬け汁の赤,#F6F6F4,塩の白,#2DAF4B,葉の緑,v|s|d,ツヤケシ,対照色相配色
阿蘇高菜漬け,阿蘇高菜漬け|Aso Takana Pickles,葉深緑と漬け茎黄緑。高菜の発酵香の香味が広がる,#1F6322,葉の深緑,#808A34,漬け茎の黄緑,#F6F6F4,塩の白,#896D22,漬汁の琥珀,d|dk|ltg,ツヤケシ,ナチュラルハーモニー
市房漬け,市房漬け|Ichifusazuke,野菜緑と味噌赤茶。山菜の味噌漬けの香味が広がる,#3E9844,野菜の緑,#B15C42,味噌の赤茶,#D8CB5B,生姜の淡黄,#704F28,樽の焦茶,v|s|d,ツヤケシ,ナチュラルハーモニー
寒漬け,寒漬け|Kanzuke Pickles,黄土の干し大根と焦茶の漬け汁。旨みが深まる,#AC7748,干し大根の黄土,#88573D,漬け汁の焦茶,#EED279,切口の淡黄,#D33E3A,唐辛子の赤,v|s|d,ツヤケシ,ナチュラルハーモニー
生姜の味噌漬け,生姜の味噌漬け|Ginger Miso Pickles,生姜淡黄と味噌赤茶。生姜と味噌の香りの香味が広がる,#E6DC87,生姜の淡黄,#9F5A35,味噌の赤茶,#D9B697,生姜皮の薄茶,#4EB170,葉の緑,v|s|d,ツヤケシ,ナチュラルハーモニー
山川漬,山川漬|Yamakawa-zuke,大根焦茶と漬け色黄土。壺熟成の大根香の香味が広がる,#8D4D3C,大根の焦茶,#C1834C,漬け色の黄土,#F2BF43,切口の淡黄,#A64B26,壺の赤茶,d|dk|ltg,ツヤケシ,ナチュラルハーモニー
パパイヤ漬,パパイヤ漬|Papaya Pickles,青果緑と果肉淡黄。青パパイヤの漬け香の香味が広がる,#32CB30,青果の緑,#EBD193,果肉の淡黄,#966A17,漬汁の琥珀,#111111,種の黒,v|s|d,ツヤケシ,ナチュラルハーモニー
にんにく塩漬,にんにく塩漬|Salted Garlic,鱗片白と薄皮淡紫。にんにくの強い塩香の香味が広がる,#F6F6F4,鱗片の白,#BF99D9,薄皮の淡紫,#C4C4C4,塩の白晶,#238A3F,芽の緑,d|dk|ltg,ツヤケシ,ナチュラルハーモニー
ニシン漬け,ニシン漬け|Nishinzuke,魚身銀白と熟成汁琥珀。魚と野菜の発酵香の香味が広がる,#C4C4C4,魚身の銀白,#CF641F,熟成汁の琥珀,#DFDABB,糀の生成り,#3B8CD3,皮目の青,d|dk|ltg,ツヤケシ,ナチュラルハーモニー
飯寿司,飯寿司|Izushi Fermented Sushi,魚身銀白と米白。魚と米の乳酸香の香味が広がる,#C4C4C4,魚身の銀白,#F6F6F4,米の白,#E5773E,人参の橙,#E8E1DA,糀の生成り,d|dk|ltg,,ナチュラルハーモニー
ぬかにしん,ぬかにしん|Nuka Herring,熟成部焦茶と魚身銀白。糠と魚の熟成香の香味が広がる,#56392F,熟成部の焦茶,#C4C4C4,魚身の銀白,#7D361D,漬汁の赤茶,#F6F6F4,塩の白,d|dk|ltg,ツヤケシ,ナチュラルハーモニー
塩辛,塩辛|Shiokara,身淡桃と熟成汁赤茶。魚介の濃い塩香の香味が広がる,#C57E83,身の淡桃,#A76946,熟成汁の赤茶,#F6F6F4,塩の白,#8D4731,内臓の焦茶,d|dk|ltg,ツヤケシ,ナチュラルハーモニー
ぬかいわし,ぬかいわし|Nuka Sardine,熟成部焦茶と魚身銀白。糠床の魚香の香味が広がる,#815736,熟成部の焦茶,#C4C4C4,魚身の銀白,#9D4C43,漬汁の赤茶,#F6F6F4,塩の白,d|dk|ltg,ツヤケシ,ナチュラルハーモニー
かぶら寿し,かぶら寿し|Kaburazushi,蕪白と鰤身淡桃。蕪と鰤の乳酸香の香味が広がる,#F6F6F4,蕪の白,#E5A0A4,鰤身の淡桃,#EC6317,人参の橙,#DCD8C4,糀の生成り,d|dk|ltg,,ナチュラルハーモニー
黒作り,黒作り|Kurozukuri,いか墨黒といか身白。墨色のいか塩辛の香味が広がる,#111111,いか墨の黒,#F6F6F4,いか身の白,#674B3C,熟成汁の焦茶,#DB9A29,酒の琥珀,d|dk|ltg,,ナチュラルハーモニー
ます寿し,ます寿し|Masuzushi,鱒身橙と酢飯白。鱒と酢飯の香りの香味が広がる,#D97446,鱒身の橙,#F6F6F4,酢飯の白,#297231,笹葉の緑,#AA8D49,木桶の黄土,v|s|d,,ナチュラルハーモニー
ふぐの子ぬか漬け,ふぐの子ぬか漬け|Fugu Roe Nukazuke,卵巣黄土と糠床茶。卵巣と糠の熟成香の香味が広がる,#937E2E,卵巣の黄土,#61412D,糠床の茶,#F6F6F4,塩の白,#D05F2F,漬け色の赤茶,d|dk|ltg,ツヤケシ,ナチュラルハーモニー
こんかいわし,こんかいわし|Konkaiwashi,熟成部焦茶と魚身銀白。鰯と糠の濃い香りの香味が広がる,#79493E,熟成部の焦茶,#C4C4C4,魚身の銀白,#944521,漬汁の赤茶,#F6F6F4,塩の白,d|dk|ltg,,ナチュラルハーモニー
大根ずし,大根ずし|Daikonzushi,大根白と魚身銀白。大根と魚の乳酸香の香味が広がる,#F6F6F4,大根の白,#C4C4C4,魚身の銀白,#D07C48,人参の橙,#E0D7CB,糀の生成り,d|dk|ltg,,ナチュラルハーモニー
越前塩うに,越前塩うに|Echizen Salted Sea Urchin,海胆橙と熟成部赤。海胆の濃厚な塩香の香味が広がる,#EE8739,海胆の橙,#B82842,熟成部の赤,#F6F6F4,塩の白,#644829,器の焦茶,v|s|d,,ナチュラルハーモニー
にしんのすし,にしんのすし|Herring Narezushi,鰊身銀白と米白。鰊と米の発酵香の香味が広がる,#C4C4C4,鰊身の銀白,#F6F6F4,米の白,#E47116,人参の橙,#D7CFB4,糀の生成り,d|dk|ltg,,ナチュラルハーモニー
若狭小浜小鯛ささ漬け,若狭小浜小鯛ささ漬け|Wakasa Kodai Sasazuke,小鯛淡桃と身白。小鯛と酢の香りの香味が広がる,#E4A7C3,小鯛の淡桃,#F6F6F4,身の白,#4CA742,笹葉の緑,#F2E378,酢の淡黄,v|s|d,ツヤケシ,ナチュラルハーモニー
馴れずし,馴れずし|Narezushi,魚身銀白と米白。魚と米の強い発酵香の香味が広がる,#C4C4C4,魚身の銀白,#F6F6F4,米の白,#C0A65D,発酵部の黄土,#D08536,熟成汁の琥珀,d|dk|ltg,,ナチュラルハーモニー
うるか,うるか|Uruka,熟成部焦茶と鮎皮銀。鮎内臓の濃い旨みの香味が広がる,#513D25,熟成部の焦茶,#C4C4C4,鮎皮の銀,#EAD74A,卵の黄,#8F531F,酒の琥珀,d|dk|ltg,ツヤケシ,ナチュラルハーモニー
さばの塩辛,さばの塩辛|Fermented Salted Mackerel,鯖皮青と身銀白。鯖の強い塩香の香味が広がる,#2F79BE,鯖皮の青,#C4C4C4,身の銀白,#B75848,熟成汁の赤茶,#F6F6F4,塩の白,d|dk|ltg,ツヤケシ,ナチュラルハーモニー
酒盗,酒盗|Shuto Bonito Entrails,熟成部赤茶と鰹身赤。鰹内臓の熟成旨みの香味が広がる,#AB452A,熟成部の赤茶,#9D2446,鰹身の赤,#BC6622,酒の琥珀,#F6F6F4,塩の白,d|dk|ltg,ツヤケシ,ナチュラルハーモニー
このわた,このわた|Konowata,黄土の熟成色と焦茶。海鼠腸の濃い潮香が残る,#C7AE4C,熟成部の黄土,#6F563C,海鼠皮の焦茶,#F6F6F4,塩の白,#B87035,酒の琥珀,d|dk|ltg,,ナチュラルハーモニー
めふん,めふん|Mefun Salmon Kidney,腎臓深紅と熟成部赤茶。鮭腎臓の塩辛香の香味が広がる,#7A1734,腎臓の深紅,#AA6032,熟成部の赤茶,#F6F6F4,塩の白,#805F29,酒の琥珀,d|dk|ltg,,ナチュラルハーモニー
うにの塩辛,うにの塩辛|Salted Sea Urchin,海胆橙と熟成部黄。海胆の甘い塩香の香味が広がる,#DE9367,海胆の橙,#EFF474,熟成部の黄,#F6F6F4,塩の白,#995F33,酒の琥珀,v|s|d,ツヤケシ,ナチュラルハーモニー
こだいの笹漬け,こだいの笹漬け|Kodai Sasazuke,小鯛淡桃と身白。小鯛と笹の香りの香味が広がる,#E3C1C4,小鯛の淡桃,#F6F6F4,身の白,#43BB57,笹葉の緑,#E9BD57,酢の淡黄,v|s|d,ツヤケシ,ナチュラルハーモニー
ままかりの酢漬け,ままかりの酢漬け|Mamakarizuke,魚身銀白と酢淡黄。魚と酢のさっぱり香の香味が広がる,#C4C4C4,魚身の銀白,#E0DB54,酢の淡黄,#D33930,唐辛子の赤,#EEECE1,生姜の淡黄,v|s|d,ツヤケシ,ナチュラルハーモニー
すんき,すんき|Sunki Pickles,赤かぶ茎赤紫と葉深緑。無塩の乳酸発酵香の香味が広がる,#AA4EBF,赤かぶ茎の赤紫,#1F3D1F,葉の深緑,#859B3B,発酵部の黄緑,#F6F6F4,根の白,d|dk|ltg,ツヤケシ,ナチュラルハーモニー
フェイジョア,フェイジョア|Feijoa Fruit,果皮緑と果肉白。青い南国果実香の香味が広がる,#30B32B,果皮の緑,#F6F6F4,果肉の白,#E6E66E,中心の淡黄,#AF1225,花弁の赤,v|s|d,,対照色相配色
サワーソップ,サワーソップ|Soursop Fruit,果皮緑と果肉白。白い果肉の甘酸味の香味が広がる,#2F9E26,果皮の緑,#F6F6F4,果肉の白,#7BA66D,葉裏の淡緑,#E5BA36,芯の淡黄,v|s|d,,ナチュラルハーモニー
ジャックフルーツ,ジャックフルーツ|Jackfruit,果肉黄と果皮黄緑。濃厚な南国の甘香の香味が広がる,#E6E959,果肉の黄,#80A840,果皮の黄緑,#784834,種の茶,#227830,葉の緑,v|s|d,,ナチュラルハーモニー
タマリロ,タマリロ|Tamarillo Fruit,果皮赤と果肉橙。赤い酸甘果実香の香味が広がる,#8A1F2F,果皮の赤,#E28E3A,果肉の橙,#5B2388,種周りの紫,#2B8A4C,葉の緑,v|s|d,,対照色相配色
ポメロ,ポメロ|Pomelo Fruit,果皮黄緑に果肉淡黄。厚皮の爽やかな柑橘香の余韻が残る,#717849,果皮の黄緑,#DBBC42,果肉の淡黄,#F6F6F4,わたの白,#3C8645,葉の緑,v|s|d,,ナチュラルハーモニー
カラマンシー,カラマンシー|Calamansi Fruit,果皮緑と熟果橙。小粒の鋭い柑橘香の香味が広がる,#398354,果皮の緑,#DA9757,熟果の橙,#E4C56B,果肉の淡黄,#F6F6F4,種の白,v|s|d,,ナチュラルハーモニー
タンジェリン,タンジェリン|Tangerine Fruit,果皮橙と果肉黄橙。甘い橙色の柑橘香の香味が広がる,#DB8761,果皮の橙,#CDA75C,果肉の黄橙,#F6F6F4,わたの白,#27922A,葉の緑,v|s|d,,ナチュラルハーモニー
シークヮーサー,シークヮーサー|Shikuwasa Citrus,果皮緑と果肉淡黄。沖縄の青い柑橘香の香味が広がる,#469F65,果皮の緑,#EEDF43,果肉の淡黄,#F6F6F4,種の白,#E98316,熟果の橙,v|s|d,,ナチュラルハーモニー
クインス,クインス|Quince Fruit,果皮黄と果肉白。硬い黄果の芳香の香味が広がる,#E7B13A,果皮の黄,#F6F6F4,果肉の白,#664022,種の茶,#316D47,葉の緑,v|s|d,,ナチュラルハーモニー
バーベリー,バーベリー|Barberry Fruit,果実赤と果肉橙赤。小粒の赤い酸味の香味が広がる,#D65142,果実の赤,#DDA186,果肉の橙赤,#E9B749,種の淡黄,#3DAA4C,葉の緑,v|s|d,,対照色相配色
クプアス,クプアス|Cupuaçu Fruit,果皮焦茶と果肉白。白果肉の濃い甘酸香の香味が広がる,#6F3D26,果皮の焦茶,#F6F6F4,果肉の白,#8C4F29,種の赤茶,#4AA755,葉の緑,d|dk|ltg,,ナチュラルハーモニー
ローズヒップ,ローズヒップ|Rosehip Fruit,実赤と果肉橙。赤い実の爽やかな酸味の香味が広がる,#92252A,実の赤,#EBB15C,果肉の橙,#EEDA59,種の淡黄,#2EB13C,萼の緑,v|s|d,,対照色相配色
